Track ID,Parent ID,Kinetic Energy (MeV),Ionizations
9,1,0.0012352,1
9,1,0.00101174,2
9,1,0.00050085,3
9,1,0,4
8,1,0.00128205,5
8,1,0.000563917,6
8,1,0.000447895,7
8,1,0,8
7,1,0.00184352,9
7,1,0.00145778,10
7,1,0.00134291,11
7,1,0.00122671,12
7,1,0.000931718,13
7,1,0.000602147,14
7,1,0.000304266,15
7,1,0,16
6,1,0.00156597,17
6,1,0.00121739,18
6,1,0.000877463,19
6,1,0.000210061,20
6,1,0,21
5,1,0.00122017,22
5,1,0.000812009,23
5,1,0.000460914,24
5,1,0,25
4,1,0.0449071,26
4,1,0.0437407,27
4,1,0.0407542,28
4,1,0.0388053,29
4,1,0.0335878,30
4,1,0.0316596,31
4,1,0.0305995,32
4,1,0.0295248,33
4,1,0.0291315,34
4,1,0.0269709,35
4,1,0.0265639,36
4,1,0.0258921,37
4,1,0.0254224,38
4,1,0.0236491,39
4,1,0.0218378,40
4,1,0.0210971,41
4,1,0.0206665,42
4,1,0.0200435,43
4,1,0.0196996,44
4,1,0.0188997,45
4,1,0.0185361,46
4,1,0.0179307,47
4,1,0.0174152,48
4,1,0.0167432,49
4,1,0.0156115,50
4,1,0.0130028,51
4,1,0.00987167,52
4,1,0.00889341,53
4,1,0.00756881,54
4,1,0.00662946,55
4,1,0.00566636,56
4,1,0.00444112,57
4,1,0.00435768,58
4,1,0.00397602,59
4,1,0.00339887,60
4,1,0.00300981,61
4,1,0.00258114,62
4,1,0.000817273,63
4,1,0.000173173,64
4,1,0,65
11,4,0.00241259,66
11,4,0.00231651,67
11,4,0.00219163,68
11,4,0.00172305,69
11,4,0.00166773,70
11,4,0.00135891,71
11,4,0,72
10,4,0.00151649,73
10,4,0.000954181,74
10,4,0.00013604,75
10,4,0,76
3,1,0.0130033,77
3,1,0.0112068,78
3,1,0.00986879,79
3,1,0.00797265,80
3,1,0.00699464,81
3,1,0.00653165,82
3,1,0.00589036,83
3,1,0.00521041,84
3,1,0.00481553,85
3,1,0.0045693,86
3,1,0.00403249,87
3,1,0.00338141,88
3,1,0.00315943,89
3,1,0.0013057,90
3,1,0.00100522,91
3,1,0.000691424,92
3,1,0.000121614,93
3,1,0,94
2,1,0.00193071,95
2,1,0.00161288,96
2,1,0.00157507,97
2,1,0.00130072,98
2,1,0.00107074,99
2,1,0.000926786,100
2,1,0.000745646,101
2,1,0.000574431,102
2,1,0,103
11,1,0.009367,104
11,1,0.00883555,105
11,1,0.00743063,106
11,1,0.00666021,107
11,1,0.00594385,108
11,1,0.00550841,109
11,1,0.00505703,110
11,1,0.00488823,111
11,1,0.0040947,112
11,1,0.00378958,113
11,1,0.00357273,114
11,1,0.00310172,115
11,1,0.00275517,116
11,1,0.00244099,117
11,1,0.00213146,118
11,1,0.00159396,119
11,1,0.000938004,120
11,1,0.000503532,121
11,1,0,122
12,11,0.00114605,123
12,11,0.00100805,124
12,11,0.000746353,125
12,11,0,126
10,1,0.00560586,127
10,1,0.00448517,128
10,1,0.00381077,129
10,1,0.00275646,130
10,1,0.00227084,131
10,1,0.00189591,132
10,1,0.00155966,133
10,1,0.00140027,134
10,1,0.00128775,135
10,1,0.000561023,136
10,1,0.000206309,137
10,1,0,138
9,1,0.00274411,139
9,1,0.00270871,140
9,1,0.00251842,141
9,1,0.00228712,142
9,1,0.00195309,143
9,1,0.0012111,144
9,1,0.000847913,145
9,1,0.000548853,146
9,1,0.000298663,147
9,1,0.000221738,148
9,1,0,149
8,1,0.00104489,150
8,1,0.000766375,151
8,1,0,152
7,1,0.001147,153
7,1,0.00101702,154
7,1,0.000908796,155
7,1,0.000770589,156
7,1,0,157
6,1,0.00191539,158
6,1,0.00164767,159
6,1,0.00140356,160
6,1,0.00109775,161
6,1,0.000992657,162
6,1,0.000782129,163
6,1,0,164
5,1,0.00194771,165
5,1,0.00153821,166
5,1,0.000946554,167
5,1,0.000702485,168
5,1,0.000290047,169
5,1,0.000104589,170
5,1,0,171
4,1,0.0118062,172
4,1,0.0104329,173
4,1,0.00897236,174
4,1,0.00794838,175
4,1,0.00746338,176
4,1,0.00706752,177
4,1,0.00405889,178
4,1,0.00301041,179
4,1,0.00275343,180
4,1,0.00269475,181
4,1,0.00202874,182
4,1,0.00183533,183
4,1,0.00173775,184
4,1,0.0016145,185
4,1,0.00124628,186
4,1,0.000909921,187
4,1,0.000357454,188
4,1,0.000114251,189
4,1,0,190
14,4,0.00234652,191
14,4,0.00190947,192
14,4,0.00160383,193
14,4,0.00124432,194
14,4,0.000592211,195
14,4,0,196
13,4,0.00163723,197
13,4,0.00115044,198
13,4,0.00068905,199
13,4,0.000135957,200
13,4,0,201
3,1,0.0010774,202
3,1,0.000917294,203
3,1,0.000696447,204
3,1,0,205
2,1,0.00146791,206
2,1,0.00131144,207
2,1,0.000817729,208
2,1,0.000495543,209
2,1,0,210
4,1,0.0069055,211
4,1,0.0063109,212
4,1,0.00539102,213
4,1,0.00499547,214
4,1,0.00390891,215
4,1,0.00339486,216
4,1,0.00263051,217
4,1,0.00248087,218
4,1,0.00214143,219
4,1,0.00187258,220
4,1,0.00144088,221
4,1,0.00109078,222
4,1,0.000960844,223
4,1,0.000774841,224
4,1,0,225
3,1,0.000994622,226
3,1,0.000287538,227
3,1,0,228
2,1,0.00406167,229
2,1,0.00359165,230
2,1,0.00293903,231
2,1,0.00275494,232
2,1,0.00109528,233
2,1,0.000711791,234
2,1,0.000441803,235
2,1,0,236
